SAMPLE,VAR,LOC,VARLOC,AMINOACID,CONCENTRATION
6,Titicaca,Chile,Titicaca-Chile,Lysine,10.38994356
13,Titicaca,Chile,Titicaca-Chile,Lysine,6.940970485
20,Titicaca,Chile,Titicaca-Chile,Lysine,9.832904884
7,Salcedo,Peru,Salcedo-Peru,Lysine,5.30104712
21,Salcedo,Peru,Salcedo-Peru,Lysine,2.948402948
1,Salcedo,Spain,Salcedo-Spain,Methionine,6.729810568
15,Salcedo,Spain,Salcedo-Spain,Methionine,7.864450128
2,Regalona,Spain,Regalona-Spain,Methionine,8.862629247
9,Regalona,Spain,Regalona-Spain,Methionine,7.896764253
16,Regalona,Spain,Regalona-Spain,Methionine,10.73581115
10,Titicaca,Spain,Titicaca-Spain,Methionine,3.617764471
17,Titicaca,Spain,Titicaca-Spain,Methionine,7.625826131
4,Salcedo,Chile,Salcedo-Chile,Methionine,4.987684729
11,Salcedo,Chile,Salcedo-Chile,Methionine,4.954268293
12,Regalona,Chile,Regalona-Chile,Methionine,3.805175038
19,Regalona,Chile,Regalona-Chile,Methionine,4.671150972
6,Titicaca,Chile,Titicaca-Chile,Methionine,2.308876347
13,Titicaca,Chile,Titicaca-Chile,Methionine,2.813906953
20,Titicaca,Chile,Titicaca-Chile,Methionine,3.470437018
7,Salcedo,Peru,Salcedo-Peru,Methionine,7.853403141
21,Salcedo,Peru,Salcedo-Peru,Methionine,5.712530713
1,Salcedo,Spain,Salcedo-Spain,Proline,57.76420738
15,Salcedo,Spain,Salcedo-Spain,Proline,55.0511509
2,Regalona,Spain,Regalona-Spain,Proline,88.99556869
9,Regalona,Spain,Regalona-Spain,Proline,78.96764253
16,Regalona,Spain,Regalona-Spain,Proline,94.92717228
10,Titicaca,Spain,Titicaca-Spain,Proline,44.91017964
17,Titicaca,Spain,Titicaca-Spain,Proline,78.16471784
4,Salcedo,Chile,Salcedo-Chile,Proline,73.52216749
11,Salcedo,Chile,Salcedo-Chile,Proline,71.07469512
12,Regalona,Chile,Regalona-Chile,Proline,72.29832572
19,Regalona,Chile,Regalona-Chile,Proline,101.8310912
6,Titicaca,Chile,Titicaca-Chile,Proline,91.39302206
13,Titicaca,Chile,Titicaca-Chile,Proline,55.71535768
20,Titicaca,Chile,Titicaca-Chile,Proline,85.218509
7,Salcedo,Peru,Salcedo-Peru,Proline,37.5
21,Salcedo,Peru,Salcedo-Peru,Proline,35.56511057
1,Salcedo,Spain,Salcedo-Spain,Serine,14.76819541
15,Salcedo,Spain,Salcedo-Spain,Serine,22.05882353
2,Regalona,Spain,Regalona-Spain,Serine,17.54062038
9,Regalona,Spain,Regalona-Spain,Serine,14.25269646
10,Titicaca,Spain,Titicaca-Spain,Serine,7.859281437
17,Titicaca,Spain,Titicaca-Spain,Serine,11.62938485
4,Salcedo,Chile,Salcedo-Chile,Serine,14.408867
11,Salcedo,Chile,Salcedo-Chile,Serine,10.86128049
12,Regalona,Chile,Regalona-Chile,Serine,8.751902588
19,Regalona,Chile,Regalona-Chile,Serine,10.65022422
6,Titicaca,Chile,Titicaca-Chile,Serine,15.00769625
13,Titicaca,Chile,Titicaca-Chile,Serine,7.316158079
20,Titicaca,Chile,Titicaca-Chile,Serine,10.218509
7,Salcedo,Peru,Salcedo-Peru,Serine,10.79842932
21,Salcedo,Peru,Salcedo-Peru,Serine,6.265356265
1,Salcedo,Spain,Salcedo-Spain,Hydroxyproline,4.486540379
15,Salcedo,Spain,Salcedo-Spain,Hydroxyproline,3.452685422
2,Regalona,Spain,Regalona-Spain,Hydroxyproline,5.169867061
9,Regalona,Spain,Regalona-Spain,Hydroxyproline,5.00770416
16,Regalona,Spain,Regalona-Spain,Hydroxyproline,4.143646409
10,Titicaca,Spain,Titicaca-Spain,Hydroxyproline,2.869261477
17,Titicaca,Spain,Titicaca-Spain,Hydroxyproline,5.338078292
4,Salcedo,Chile,Salcedo-Chile,Hydroxyproline,3.140394089
11,Salcedo,Chile,Salcedo-Chile,Hydroxyproline,4.00152439
12,Regalona,Chile,Regalona-Chile,Hydroxyproline,4.566210046
19,Regalona,Chile,Regalona-Chile,Hydroxyproline,5.605381166
6,Titicaca,Chile,Titicaca-Chile,Hydroxyproline,4.040533607
13,Titicaca,Chile,Titicaca-Chile,Hydroxyproline,3.376688344
20,Titicaca,Chile,Titicaca-Chile,Hydroxyproline,4.241645244
7,Salcedo,Peru,Salcedo-Peru,Hydroxyproline,3.534031414
21,Salcedo,Peru,Salcedo-Peru,Hydroxyproline,3.685503686
1,Salcedo,Spain,Salcedo-Spain,Threonine,28.22781655
15,Salcedo,Spain,Salcedo-Spain,Threonine,40.08951407
2,Regalona,Spain,Regalona-Spain,Threonine,36.18906942
9,Regalona,Spain,Regalona-Spain,Threonine,32.16486903
16,Regalona,Spain,Regalona-Spain,Threonine,51.04218985
10,Titicaca,Spain,Titicaca-Spain,Threonine,14.09680639
17,Titicaca,Spain,Titicaca-Spain,Threonine,21.54295882
4,Salcedo,Chile,Salcedo-Chile,Threonine,23.46059113
11,Salcedo,Chile,Salcedo-Chile,Threonine,18.67378049
12,Regalona,Chile,Regalona-Chile,Threonine,27.58751903
19,Regalona,Chile,Regalona-Chile,Threonine,33.07174888
6,Titicaca,Chile,Titicaca-Chile,Threonine,39.82811698
13,Titicaca,Chile,Titicaca-Chile,Threonine,19.69734867
20,Titicaca,Chile,Titicaca-Chile,Threonine,26.79948586
7,Salcedo,Peru,Salcedo-Peru,Threonine,21.79319372
21,Salcedo,Peru,Salcedo-Peru,Threonine,13.82063882
1,Salcedo,Spain,Salcedo-Spain,Tryptophan,55.14705882
15,Salcedo,Spain,Salcedo-Spain,Tryptophan,59.65473146
2,Regalona,Spain,Regalona-Spain,Tryptophan,43.38995569
9,Regalona,Spain,Regalona-Spain,Tryptophan,37.75038521
16,Regalona,Spain,Regalona-Spain,Tryptophan,48.59367152
10,Titicaca,Spain,Titicaca-Spain,Tryptophan,18.58782435
17,Titicaca,Spain,Titicaca-Spain,Tryptophan,47.08947636
