VARLOC,LOC,VAR,emmean,SE,df,lower.CL,upper.CL,.group,AMINOACID
Salcedo-Chile,Salcedo,Chile,257.12633665,56.1396549875022,9,63.5719615901795,450.680711709821, a,Glutamic acid
Salcedo-Peru,Salcedo,Peru,175.1936015,56.1396549875022,9,-18.3607735598205,368.747976559821, a,Glutamic acid
Salcedo-Spain,Salcedo,Spain,367.05508475,56.1396549875022,9,173.500709690179,560.60945980982, a,Glutamic acid
Titicaca-Chile,Titicaca,Chile,345.725040466667,45.8378363517577,9,187.68855500672,503.761525926613, a,Glutamic acid
Titicaca-Spain,Titicaca,Spain,181.40796446,56.1396549875022,9,-12.1464105998204,374.962339519821, a,Glutamic acid
Regalona-Chile,Regalona,Chile,134.80600435,21.7036990304856,8,57.338417960756,212.273590739244, a,Glutamine
Regalona-Spain,Regalona,Spain,184.9039711,21.7036990304857,8,107.436384710756,262.371557489244, a,Glutamine
Salcedo-Chile,Salcedo,Chile,163.9832768,21.7036990304857,8,86.515690410756,241.450863189244, a,Glutamine
Salcedo-Peru,Salcedo,Peru,118.0805955,21.7036990304856,8,40.613009110756,195.548181889244, a,Glutamine
Salcedo-Spain,Salcedo,Spain,105.43288612,21.7036990304856,8,27.965299730756,182.900472509244, a,Glutamine
Titicaca-Chile,Titicaca,Chile,142.427570466667,17.7209960518759,8,79.1755510471257,205.679589886208, a,Glutamine
Titicaca-Spain,Titicaca,Spain,117.926196405,21.7036990304856,8,40.458610015756,195.393782794244, a,Glutamine
Regalona-Chile,Regalona,Chile,7.91237518,3.84408454981658,9,-5.3409906072051,21.1657409672051, a,Glycine
Regalona-Spain,Regalona,Spain,15.2490125106667,3.13868189172234,9,4.4276846596292,26.0703403617041, a,Glycine
Salcedo-Chile,Salcedo,Chile,6.2669898175,3.84408454981658,9,-6.9863759697051,19.5203556047051, a,Glycine
Salcedo-Peru,Salcedo,Peru,3.7441147715,3.84408454981658,9,-9.5092510157051,16.9974805587051, a,Glycine
Salcedo-Spain,Salcedo,Spain,16.82696476,3.84408454981658,9,3.5735989727949,30.0803305472051, a,Glycine
Titicaca-Chile,Titicaca,Chile,12.44655582,3.13868189172234,9,1.62522796896254,23.2678836710375, a,Glycine
Titicaca-Spain,Titicaca,Spain,4.6026718805,3.84408454981658,9,-8.65069390670509,17.8560376677051, a,Glycine
Regalona-Chile,Regalona,Chile,19.488724395,2.71801604420909,9,10.1177388241665,28.8597099658335, a,Histidine
Regalona-Spain,Regalona,Spain,17.7736464466667,2.21925080700342,9,10.122268768158,25.4250241251753, a,Histidine
Salcedo-Chile,Salcedo,Chile,11.46052355,2.71801604420909,9,2.08953797916648,20.8315091208335, a,Histidine
Salcedo-Peru,Salcedo,Peru,15.30448821,2.71801604420909,9,5.93350263916647,24.6754737808335, a,Histidine
Salcedo-Spain,Salcedo,Spain,18.807707315,2.71801604420909,9,9.43672174416647,28.1786928858335, a,Histidine
Titicaca-Chile,Titicaca,Chile,16.1340003633333,2.21925080700343,9,8.4826226848247,23.785378041842, a,Histidine
